model_choice,model_path,n_components,reducer_choice,s_kl,s_rmlse,t_kl,t_rmlse,test_rmse,train_rmse,val_rmse
cnn,./logs\0320181153\best_model_0_0.h5,10,0.0,0.07746169731957132,0.6764355570152674,0.09626254604065036,0.7285292180871747,11.39012500950036,9.162408253235176,10.760828657102282
dense_cnn,./logs\0320182051\best_model_0_0.h5,10,0.0,0.08510042684829841,0.6664132469021427,0.10489900354296634,0.7691573878196191,11.71890557429024,9.669869479002061,10.390977381003939
cnn,./logs\0320182257\best_model_0_0.h5,10,0.0,0.07309443096168021,0.7047417325547897,0.09212852831644047,0.6735259015841484,11.149018516364851,8.243741212020629,10.68293688762892
dense_cnn,./logs\0320182249\best_model_0_0.h5,10,0.0,0.12409952945872915,1.3720936042872451,0.11934617117865698,0.9185039087430364,11.835191268075564,10.543879606030668,10.97089182341048
cnn,./logs\0320182425\best_model_0_0.h5,10,0.0,0.08235959650741756,0.6877174151634283,0.1049562465421218,0.7162246345627451,11.552313824571526,9.147657010681193,10.73003219295525
cnn,./logs\0320182641\best_model_0_0.h5,10,,0.05599654588214339,0.6086500596627976,0.12245220150522425,0.7932330491057867,12.470025143828911,7.095058399170692,9.49666413422694
cnn,./logs\0320184217\best_model_0_0.h5,10,0.0,0.08691711080802597,0.6508501184421723,0.09522388549044875,0.6757790500300035,11.339522198556399,9.27263594516748,10.395410136835006
