model_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,pca,2,False,11.184771118646854,11.192473203928888,10.264442908986652,0.10015792489098553,0.7556885361289508,0.08273605789105312,0.7080590934303241,./logs\0324205157\best_model_0_0.h5
cnn,pca,30,False,10.36198594179664,10.933068748609342,10.28846704872676,0.08336946250275246,0.6855167611131832,0.08516780065005072,0.7371170439421866,./logs\0324205157\best_model_14_1.h5
cnn,pca,14,False,10.872133247209716,11.098956238634255,10.57609405333662,0.09056418240484304,0.6904540394144507,0.08667750672974486,0.7350594175651975,./logs\0324205157\best_model_6_0.h5
cnn,fa,22,False,10.75922384372702,11.05768905833339,10.380101124073386,0.08721939489240038,0.7129252872974217,0.0868821331551955,0.725529831988762,./logs\0324205157\best_model_11_0.h5
cnn,pca,2,True,12.936948982984168,12.554159016653852,10.908308081645261,0.1237389538398166,0.8083892781424749,0.08753953087133609,0.6926540920170747,./logs\0325123801\best_model_0_0.h5
cnn,pca,30,True,9.777386546003452,10.411071963608737,10.763186106143067,0.07351511806983306,0.6490137501239668,0.0875898795317394,0.6919114592800406,./logs\0325123801\best_model_14_0.h5
cnn,fa,30,True,9.464444370114917,10.720576149498182,10.640079860889834,0.06609511972102838,0.6474677369717996,0.08809773609335692,0.7282047495704546,./logs\0325123801\best_model_15_0.h5
cnn,pca,14,True,10.831352428535768,11.100525594351007,10.93847611037496,0.09043882611712992,0.7339427683433348,0.08996071179946954,0.7305319709569056,./logs\0325123801\best_model_6_0.h5
cnn,fa,26,True,9.608577646635903,10.238860402030841,10.892240143021152,0.07367981591632967,0.6848575680202817,0.09074473968084726,0.6874868390151028,./logs\0325123801\best_model_13_0.h5
cnn,fa,30,False,9.449072620087671,10.057306775696102,10.882431069791632,0.0697734390581727,0.6362349631800169,0.091398682004858,0.7237659858196376,./logs\0324205157\best_model_15_0.h5
cnn,pca,18,False,10.621665685525661,11.258461022793693,10.8404401579703,0.08358819580318044,0.6719847355908108,0.0923536942791022,0.7418440960255063,./logs\0324205157\best_model_8_0.h5
cnn,pca,6,False,10.368792636753232,10.679291483955023,10.878102048645294,0.08622234365830983,0.7264146877290589,0.0944691793581327,0.7637068418950439,./logs\0324205157\best_model_2_0.h5
cnn,fa,22,True,9.888079247272143,10.467012206108487,11.155139293516376,0.073156729837868,0.6645140692592058,0.09498453962223931,0.7128121269222016,./logs\0325123801\best_model_11_0.h5
cnn,pca,22,False,10.202527646230113,10.918522396438084,11.155773086186766,0.08213879264229743,0.675938503173635,0.09567768927099883,0.7498193812173638,./logs\0324205157\best_model_10_0.h5
cnn,fa,14,False,10.735485813492597,10.730807329224916,11.150237444591632,0.08343293345360657,0.6849895104714069,0.0984809667122624,0.7702940050127483,./logs\0324205157\best_model_7_0.h5
cnn,pca,10,True,13.278402623241838,12.978495631701474,11.818336601101796,0.13147460558680363,1.149771915993839,0.09872167970422571,0.7312606769909561,./logs\0325123801\best_model_4_2.h5
cnn,pca,22,True,10.299495319676987,10.740664440278605,11.41001183857514,0.08292280318962686,0.7131834193900095,0.09889376447380561,0.75542140091969,./logs\0325123801\best_model_10_0.h5
cnn,fa,14,True,10.61252888799246,10.911568259049782,11.426135750205876,0.08190826384176089,0.7181294688185074,0.09944801866257108,0.7573640629879254,./logs\0325123801\best_model_7_0.h5
cnn,pca,26,False,11.319756575887963,11.294879790812802,11.456719491037667,0.10217626206334196,0.7003741818679168,0.09948759317084294,0.7517598592089263,./logs\0324205157\best_model_12_1.h5
cnn,pca,26,True,12.775360589280462,12.629123030999512,11.905439615090529,0.15652971510486424,1.8066538704335693,0.10004881632937762,0.714390798831617,./logs\0325123801\best_model_12_0.h5
cnn,fa,6,False,10.763615961225979,10.838658842006064,11.269891078715386,0.08842531623981875,0.7042213825368544,0.10041443128429632,0.7766184972614991,./logs\0324205157\best_model_3_0.h5
cnn,fa,10,False,11.109008065999367,11.16167502695546,11.620478992912355,0.09142244653410098,0.7023351850213625,0.10100801767265256,0.7546308423605252,./logs\0324205157\best_model_5_1.h5
cnn,pca,18,True,12.201714789544202,12.141229063615967,11.535956891672857,0.10335906509496061,0.7489778356908054,0.10104532253377371,0.7601914017642021,./logs\0325123801\best_model_8_2.h5
cnn,pca,10,False,10.177731470996047,10.574794066357553,11.171977457052549,0.08171035413703527,0.6787444016908556,0.10146818190053876,0.7940191127943925,./logs\0324205157\best_model_4_0.h5
cnn,fa,10,True,11.324633893979057,11.26975568058711,11.374451344311844,0.09189192809868245,0.7257646520264759,0.10169397280043069,0.7439562608284273,./logs\0325123801\best_model_5_2.h5
cnn,fa,26,False,10.609178192999273,10.433895262601396,11.396044150704821,0.08394983714047917,0.6765224179331715,0.10206483139830083,0.7884189775862217,./logs\0324205157\best_model_13_0.h5
cnn,fa,18,True,9.406546176664095,10.439864015059962,11.655669394324267,0.07458077491407943,0.7369100970076541,0.10274297443852498,0.7845655629072453,./logs\0325123801\best_model_9_0.h5
cnn,fa,2,True,11.854536030162519,11.507028651987518,11.675159287294697,0.10719548839752946,0.7847104460153329,0.10500565666962747,0.7875469057294328,./logs\0325123801\best_model_1_2.h5
cnn,fa,2,False,13.175237889698474,12.900426156954365,12.113787494258965,0.13489858964082935,0.7834620564816643,0.10964922142756003,0.7775159406391505,./logs\0324205157\best_model_1_0.h5
cnn,fa,18,False,11.79505930115392,11.738071408163641,12.691944514011238,0.11780367406852628,0.7483606645049785,0.11376568977753497,0.7608263636983807,./logs\0324205157\best_model_9_1.h5
cnn,fa,6,True,10.946938107693326,10.876603940170053,12.719676937753402,0.09685856105238978,0.7792435087435668,0.11481904647309982,0.7933138009821613,./logs\0325123801\best_model_3_0.h5
cnn,pca,6,True,12.508321977915724,11.78284070154105,13.059250266891938,0.14809833603343098,1.5722089663322352,0.12869216186754615,0.8571095926666171,./logs\0325123801\best_model_2_1.h5
