model_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,fa,2,True,12.075244052808234,13.032818630795115,10.748595423755251,0.09123719099293362,0.8471194422583214,0.08809636056452044,0.7060933162735845,./logs\0321145057\best_model_1_0.h5
cnn,pca,2,False,10.860510841313774,11.887060080647755,10.692407480441824,0.07811399364248184,0.6420949470956661,0.08899692753443783,0.6737528943104041,./logs\0321100952\best_model_0_2.h5
cnn,fa,2,False,10.67067639711636,12.310648115453509,10.976573223264424,0.0759386807897755,0.6694596477655091,0.09365820425151196,0.6987653611409351,./logs\0321100952\best_model_1_0.h5
cnn,fa,6,False,12.037165709846398,12.421847412473118,11.302899091029664,0.08724279730119233,0.6568252685094825,0.09390985203073172,0.7141125609443801,./logs\0321100952\best_model_4_2.h5
cnn,tca,2,True,14.42300629806909,14.169247715095095,11.296557420879859,0.2018818044833055,2.1717250764390172,0.09413765471694131,0.8216369277607357,./logs\0321145057\best_model_2_2.h5
cnn,pca,10,True,12.022793642510504,13.032362212222832,11.416084829318413,0.08671518933931319,0.7521438970444788,0.09487428755402591,0.7079438310797004,./logs\0321145057\best_model_6_0.h5
cnn,pca,2,True,12.78707010960897,12.443365528051423,10.835451398609825,0.14690712779048498,1.9306902589233925,0.09607677181363874,1.435445628049665,./logs\0321145057\best_model_0_2.h5
cnn,pca,18,False,10.74308859041451,12.63226643571347,11.588605058448167,0.08279360520255953,0.6335972090695761,0.09826278944028,0.6878990626377388,./logs\0321100952\best_model_12_0.h5
cnn,pca,26,False,11.635364525308704,12.731521936354893,12.125992047502944,0.07995392647945401,0.6146285205789005,0.09842617948654103,0.7116388368860331,./logs\0321100952\best_model_18_2.h5
cnn,pca,18,True,12.50698293646078,12.678593304180096,11.383599927569492,0.1141340545809414,1.3449415519007375,0.09917285603055973,0.7074591020678231,./logs\0321145057\best_model_12_0.h5
cnn,pca,26,True,11.839117676497661,12.733458914415975,11.560154514772037,0.08329993883423283,0.816498408675156,0.09965614881140543,0.7469796298123484,./logs\0321145057\best_model_18_0.h5
cnn,tca,14,True,12.983411590931912,13.026110521797973,11.512898782924099,0.12791929449860046,1.674878128820904,0.10111816327737813,0.7637523418342369,./logs\0321145057\best_model_11_2.h5
cnn,pca,6,True,10.444569698344049,12.301982074908324,11.464025016671311,0.074134163842019,0.9838327607050124,0.1013326552000205,0.8555708515429965,./logs\0321145057\best_model_3_0.h5
cnn,tca,10,True,12.307448997213676,12.508598014960528,11.625158694001618,0.09171208192935112,1.0905605518036552,0.10148153691039287,0.7560890358409776,./logs\0321145057\best_model_8_0.h5
