model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,poi,fa,20,False,12.5543228397,13.5326515062,13.156329268,0.146854011027,0.876451837827,0.115737242371,0.76822860142,./logs/0326202022/best_model_1_0.h5
cnn,poi,fa,20,False,13.3557836721,14.3884944886,13.1856047661,0.155461428252,0.908888444032,0.117720309936,0.772352097297,./logs/0326200026/best_model_1_0.h5
cnn,poi,fa,10,False,13.4041588148,14.5296259187,15.1017124494,0.168984435129,0.903021591005,0.132810093689,0.778373612087,./logs/0326200026/best_model_0_0.h5
cnn,poi,fa,10,False,12.2221807315,13.1983346959,16.3875740248,0.133774235979,0.841534383137,0.14745921392,0.825434883501,./logs/0326202022/best_model_0_0.h5
