model_choice,model_path,n_components,reducer_choice,s_kl,s_rmlse,t_kl,t_rmlse,test_rmse,train_rmse,val_rmse
cnn,./logs\0320183630\best_model_0_0.h5,10,0,0.051831611680877764,0.5464337781205564,0.1411356784770452,0.8528400110033227,14.239616684355429,8.667958855121732,11.569915471512532
cnn,./logs\0320183724\best_model_0_0.h5,10,0,0.04832552578001738,0.5537711676577975,0.16329442765857927,0.9203196407704168,17.68618126579896,8.041200905843207,11.696431685332856
cnn,./logs\0320184047\best_model_0_0.h5,10,0,0.034042284008067775,0.4851260888323208,0.2163588238729657,1.0447389005687278,19.422191539374055,6.4516446100533225,11.761971032033346
cnn,./logs\0320184152\best_model_0_0.h5,10,0,0.09292349098983248,0.6622131851595061,0.1330861650293552,0.8162238969462697,13.371704038810261,14.566081804129324,14.998932997090368
cnn,./logs/0321005130/best_model_0_0.h5,2,pca,0.2154838996482935,2.534145260694317,0.17941476178362925,2.6785116031745098,10.813217257017303,12.70693198025413,12.949452444866184
cnn,./logs/0321005130/best_model_1_0.h5,2,fa,0.1002199383761099,0.8829267604526407,0.0978358140991353,0.8217390839669191,11.016381213945014,12.690666654860525,13.345740283581023
cnn,./logs/0321005130/best_model_2_2.h5,2,tca,0.12591945008472122,1.3697518458121194,0.11069665213381837,0.8123365232794673,11.827135305286289,13.96658824346241,13.905721605880846
cnn,./logs/0321005130/best_model_3_0.h5,6,pca,0.09754863907933486,1.0494766948330727,0.11142093423287584,0.7957826219579271,12.180975913418914,12.560787123515233,12.415213208236443
cnn,./logs/0321005130/best_model_4_0.h5,6,fa,0.11148590981374645,0.8020053935483595,0.11507867210099838,0.7614774244185005,13.41125077624812,14.111394260488018,14.224070188720368
cnn,./logs/0321005130/best_model_5_2.h5,6,tca,0.14566114826365842,1.791533237119552,0.10083661246657483,0.8472162711905235,11.650365463950639,13.085790842957389,12.800772242095347
cnn,./logs/0321005130/best_model_6_0.h5,10,pca,0.24029057837297232,2.645707124986724,0.12589889935847676,1.196710412559816,12.518773765820356,14.312589626548622,13.408035724848325
cnn,./logs/0321005130/best_model_7_0.h5,10,fa,0.0685084375191084,0.7297550385728352,0.12849426393960825,0.8314534683349161,13.38233694886835,10.185931614088968,12.449934439432917
cnn,./logs/0321005130/best_model_8_2.h5,10,tca,0.09190219304970773,0.9614031699821839,0.1246098495962458,0.8419076199053434,11.86709631307005,13.206090052888378,13.063289505506283
cnn,./logs/0321005130/best_model_9_0.h5,14,pca,0.15497107423144674,2.2018588983762046,0.11459152971170161,1.0062099928471462,12.140710134802479,11.225221786949175,12.819451867391958
cnn,./logs/0321005130/best_model_10_0.h5,14,fa,0.056616708799172424,0.7274221373165356,0.128790965725205,0.8347455233058672,12.707322955270248,8.512468776104177,12.60550767401968
cnn,./logs/0321005130/best_model_11_2.h5,14,tca,0.2074930078447734,2.245066554149558,0.10717095094067232,0.9904899876392483,11.32917758379577,14.711252106961453,14.202873402442984
cnn,./logs/0321005130/best_model_12_3.h5,18,pca,0.13791228829454658,1.278003817733177,0.1134788818312649,0.747118854884454,12.84582709880907,14.466844843211533,15.839074321727004
cnn,./logs/0321005130/best_model_13_0.h5,18,fa,0.06798575314202758,0.8697255736471344,0.1680253278550417,1.390904381451827,12.810670425143357,10.287947179671699,11.451281229605286
cnn,./logs/0321005130/best_model_14_0.h5,18,tca,0.28927406820763346,3.0279522695300356,0.2216921640830241,2.6754656029427797,11.368739227148893,14.071591750385457,14.05708542838484
cnn,./logs/0321005130/best_model_15_0.h5,22,pca,0.08835844414104033,0.9280864036247449,0.11858326718729235,0.8387700557942861,12.503029198790959,11.929291735024819,13.089930239504675
cnn,./logs/0321005130/best_model_16_2.h5,22,fa,0.06759775545159033,0.6919292549935773,0.14813631979762987,0.879816803247345,13.203650497291592,10.37583932381822,11.64639940842786
cnn,./logs/0321005130/best_model_17_3.h5,22,tca,0.15989731729928014,1.8929036637954517,0.10823816070430256,0.7743315320571759,11.759879931088271,14.268890667843381,14.379151229403833
cnn,./logs/0321005130/best_model_18_0.h5,26,pca,0.07647779551710904,0.7929032349611008,0.1136678291352561,0.765881196726549,12.387483379677501,10.89380732896478,12.088139765828391
cnn,./logs/0321005130/best_model_19_2.h5,26,fa,0.055329408852482886,0.7547745298444977,0.11411137041356609,0.773886565658131,12.547540180899352,8.803051955380509,11.807095471306209
cnn,./logs/0321005130/best_model_20_2.h5,26,tca,0.208721347753736,2.524510416964128,0.1488063579261682,1.523088077156909,12.124551434085665,13.905355878598213,13.396692378933718
cnn,./logs/0321005130/best_model_21_0.h5,30,pca,0.06145600270204038,0.7603217113706374,0.11822625832681367,0.8265953561600916,12.528663646967791,9.61616413312361,11.87454277446309
cnn,./logs/0321005130/best_model_22_2.h5,30,fa,0.03731136426074387,0.7707511572650562,0.1414204273200237,1.2619258754307412,13.065667281986688,6.685743797918295,11.358531897435224
cnn,./logs/0321005130/best_model_23_2.h5,30,tca,0.07618511604763097,1.4658749662457564,0.32662101860327597,2.4451395516502745,12.557065053654455,10.251584124352947,11.895695784765188
